id;created_by;created_date;last_modified_by;last_modified_date;action;activite;article;budget;chapitre;deleted;dot_cor_ae;dot_cor_cp;dot_init_ae;dot_init_cp;ecp;engage;engage_cf;ligne_credit;liquide;ordonne;paragraphe;programme;section;vbp;exercice_id;unite_administrative_id
1205;admin;2021-05-30 16:00:48.651989;admin;2021-06-07 12:05:40.033961;12602;1260208;61;ETAT;1018000311;f;1000000;1000000;1000000;1000000;;;;Prg 126 Act 12602 Actv 1260208 Chap 1018000311 Art 61 Par 614;;;614;126;23;;1001;
1701;admin;2021-05-31 13:44:42.801259;admin;2021-06-07 12:05:40.034299;05801;0580105;60;ETAT;1010000311;f;5000000;5000000;5000000;5000000;;;;Prg 058 Act 05801 Actv 0580105 Chap 1010000311 Art 60 Par 601;;;601;058;23;;1001;
1201;admin;2021-05-30 16:00:48.515266;admin;2021-06-07 12:05:40.032332;05902;0590209;62;ETAT;1800400311;f;1500000;1500000;1500000;1500000;;;;Prg 059 Act 05902 Actv 0590209 Chap 1800400311 Art 62 Par 622;;;622;059;23;;1001;
1202;admin;2021-05-30 16:00:48.603915;admin;2021-06-07 12:05:40.032856;05908;0590801;62;ETAT;1018000311;f;1500000;1500000;1500000;1500000;;;;Prg 059 Act 05908 Actv 0590801 Chap 1018000311 Art 62 Par 622;;;622;059;23;;1001;
1203;admin;2021-05-30 16:00:48.638351;admin;2021-06-07 12:05:40.033275;05908;0590801;60;ETAT;1018000311;f;1000000;1000000;1000000;1000000;;;;Prg 059 Act 05908 Actv 0590801 Chap 1018000311 Art 60 Par 601;;;601;059;23;;1001;
1204;admin;2021-05-30 16:00:48.645721;admin;2021-06-07 12:05:40.033621;12602;1260208;24;ETAT;1018000311;f;1000000;1000000;1000000;1000000;;;;Prg 126 Act 12602 Actv 1260208 Chap 1018000311 Art 24 Par 243;;;243;126;23;;1001;
