id;created_by;created_date;last_modified_by;last_modified_date;deleted;jour;libelle;exercice_id
1401;admin;2021-05-31 08:56:36.304503;admin;2021-05-31 09:12:51.500436;t;2021-10-30;Hommage aux martyrs des 30 et 31 Octobre;1001
1751;admin;2021-05-31 13:53:57.676793;admin;2021-05-31 13:53:57.676793;f;2021-12-25;Noêl;1001
2001;admin;2021-05-31 18:02:01.241755;admin;2021-05-31 18:02:01.241755;f;2021-12-11;Fete de l'independance;1001
2002;admin;2021-05-31 18:06:12.074991;admin;2021-05-31 18:06:12.074991;f;2021-07-20;Tabaski;1001
2003;admin;2021-05-31 18:08:47.266366;admin;2021-05-31 18:08:47.266366;f;2021-11-01;Toussaint;1001
2004;admin;2021-05-31 18:12:11.036923;admin;2021-05-31 18:12:11.036923;f;2021-10-19;Maouloud;1001
2007;admin;2021-05-31 18:14:28.013293;admin;2021-05-31 18:14:28.013293;f;2021-08-16;Lundi d'Assomption;1001
2006;admin;2021-05-31 18:13:38.125244;admin;2021-05-31 18:20:55.679172;t;2021-08-15;Assomption;1001
2005;admin;2021-05-31 18:13:11.606771;admin;2021-06-01 10:13:33.290827;f;2021-08-05;Fête de la nation;1001
